Meal Time,Food Name,Calories,protein,carbs,fats,ingredients
Breakfast,Scrambled Eggs,200,14,1,15," Egg Liquid Whole w/Citric Acid Includes Cage Free Fresh, Oil Canola "
Breakfast,Scrambled Eggs with Sausage,370,20,3,30," Butter Unsalted, Cilantro Fresh Chopped, Cream Cheese Bulk, Cream Whipping Heavy, Egg Fresh, Garlic Cloves Peeled Fresh Minced, Milk Whole, Oil Canola, Sausage Andouille Smoked FC "
Breakfast,Cinnamon Roll Pancakes,280,6,50,6," Butter Unsalted, Cream Cheese Bulk, Flavoring Extract Vanilla Pure, Milk Whole, Mix Pancake Hampton Creek, Oil Cooking Spray, Salt Kosher, Spice Cinnamon Ground, Sugar Powdered, Water "
Breakfast,Sausage Link,290,9,0,27, Sausage Link Pork Skinless Lower Sodium FC 0.8 oz Frozen 
Breakfast,Fried Hash Brown Patty,170,1,14,13, Potatoes Hash Brown Patties 2.25 oz Frozen 
Breakfast,Apple Cinnamon Oatmeal,100,3,18,15," Apples Sliced Water Pack Canned Drained, Cereal Oatmeal Quick Dry, Salt Bulk, Spice Cinnamon Ground, Sugar Granulated, Water "
Breakfast,Blueberry Coffee Muffin ,140,2,27,3," Blueberries Unsweetened Frozen-IQF, Flour All Purpose, Mix Cake White, Spice Cinnamon Ground, Sugar Brown Light, Water "
Breakfast,Kidney Bean Stew with Sweet  Potatoes and Oranges,280,8,47,9," Beans Kidney Dark Red Low Sodium Canned Drained Rinsed, Garlic Cloves Peeled Fresh Minced, Ginger Root Fresh Minced, Oil Canola, Orange 113 Count  Fresh, Paste Tamarind, Salt Kosher, Seasoning Garam Masala, Spice Bay Leaf, Spice Cardamom Ground, Spice Cinnamon Ground, Spice Cloves Ground, Spice Coriander Ground, Spice Cumin Ground, Spice Cumin Seed, Spice Fennel Seed, Spice Fenugreek Powder, Spice Nutmeg Ground, Spice Oregano Dried Crumbled, Spice Paprika Smoked, Spice Pepper Black Ground, Spice Rosemary Dried, Spice Turmeric, Sweet Potatoes Fresh Peeled Diced 3/4"", Tomatoes Crushed No Added Salt Canned, Water "
Breakfast,Herb Roasted Mushrooms,35,2,2,25," Garlic Cloves Peeled Fresh Julienne Sliced, Mushrooms Button Fresh, Oil Olive Extra Virgin, Salt Kosher, Spice Pepper Black Ground, Thyme Fresh Sprig "
Breakfast,Cilantro Lime Brown Rice ,220,5,45,15," Cilantro Fresh Chopped, Juice Lime Fresh Pressed, Rice Brown Dry, Salt Kosher, Water "
Breakfast,Cubed Cantaloupe,20,0,5,0, Cantaloupe Medium Fresh Cubed 
Breakfast,Cubed Pineapple,40,0,11,0, Pineapple Fresh Cubed 
Breakfast,2% Greek Plain Yogurt,90,11,5,25, Yogurt Plain Greek 2% Fage Bulk 
Breakfast,Low Fat Vanilla Yogurt,100,6,16,15, Yogurt Vanilla Low Fat Parfait 64 oz Pouch 
Breakfast,Cubed Honeydew,20,0,5,0, Honeydew Melon Fresh 
Breakfast,Low Fat Strawberry Yogurt,110,5,21,15, Yogurt Strawberry Low Fat Bulk 
Breakfast,Banana,110,1,27,0, Banana Medium 100-120 Ct Fresh 
Breakfast,Apple,70,0,18,0, Apples Red Delicious 125 Count Fresh 
Breakfast,Orange,60,1,14,0, Orange 113 Count  Fresh 
Breakfast,Plain Bagel,290,8,63,1, Bagel Plain LaMarca 4 oz Fresh 
Breakfast,Udi's Plain Bagel,290,7,43,9, Bagel Plain Gluten Free Udi's 3.5 oz Frozen 
Breakfast,Oats 'n Honey Granola,20,0,3,5, Cereal Granola Oats 'n Honey Nature Valley Bulk 
Breakfast,"Cream Cheese, 1 oz",100,2,2,10,MILK. 
Breakfast,"Jelly, Mixed Fruit, .5 oz",40,0,10,0,None.  Manufacturer will not claim GF. 
Breakfast,Scrambled Egg,80,7,1,5," Egg Liquid Whole w/Citric Acid Includes Cage Free Fresh, Milk Skim, Oil Cooking Spray "
Breakfast,Chopped Broccoli ,10,1,2,0, Broccoli Fresh Chopped 
Breakfast,Sliced Mushrooms,0,0,0,0, Mushrooms Button Fresh Sliced 
Breakfast,Chopped Tomatoes,0,0,1,0, Tomatoes Fresh Chopped 
Breakfast,Chopped Green Bell Pepper,0,0,0,0," Peppers Bell Green Fresh Pieces 1"" "
Breakfast,Scrambled Egg Whites,30,6,1,0," Egg Liquid Whites Includes Cage Free Pasteurized Fresh, Milk Skim, Oil Cooking Spray "
Breakfast, Diced Onions,0,0,1,0," Onions Yellow Fresh Small Diced 1/4"" "
Breakfast,Shredded Sharp Cheddar Cheese,60,3,0,45, Cheese Cheddar Sharp Loaf Shredded 
Breakfast,Chopped Spinach,0,0,0,0, Spinach Fresh Chopped 
Breakfast,Diced Ham,20,3,0,1, Pork Ham Buffet Boneless Smoked 
Breakfast,Diced Bacon,45,3,0,35, Bacon Sliced Raw 18/22 Frozen 
Breakfast,Blueberry Coffee Muffin ,140,2,27,3," Blueberries Unsweetened Frozen-IQF, Flour All Purpose, Mix Cake White, Spice Cinnamon Ground, Sugar Brown Light, Water "
Breakfast,Blueberry Coffee Muffin ,140,2,27,3," Blueberries Unsweetened Frozen-IQF, Flour All Purpose, Mix Cake White, Spice Cinnamon Ground, Sugar Brown Light, Water "
Breakfast,Froot Loops,110,1,25,1, Cereal Froot Loops Bulk 
Breakfast,Total Raisin Bran,180,3,45,1, Cereal Total Raisin Bran Bulk 
Breakfast,Lucky Charms,140,3,30,15, Cereal Lucky Charms Bulk 
Breakfast,Cheerios,100,3,20,2, Cereal Cheerios Bulk 
Breakfast,"Pickle Relish, Sweet",10,0,3,0," Cucumbers, High Fructose Corn Syrup, Distilled Vinegar, Cabbage (Cabbage, Salt), Guar Gum, Aluminum Sulphate, Xanthan Gum, Potassium Sorbate, Sodium Benzoate, Red Bell Peppers, Turmeric Extract, Natural and Artificial Flavor, Yellow 5, Blue 1.  "
Breakfast,"Ketchup, 9 g",10,0,2,0," Tomato Concentrate from Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring. "
Breakfast,Mustard,0,0,0,0," Water, Distilled Vinegar, Ground Mustard Seed, Salt, Turmeric, Spices. "
Breakfast,"Mayonnaise, .44 oz",80,0,0,8, EGG. 
Lunch,Spanish Rice,90,2,15,25," Cilantro Fresh Chopped, Garlic Cloves Peeled Fresh Chopped, Oil Canola, Onions Yellow Fresh Diced, Peppers Bell Green Pre-Diced 1/2"" Fresh, Rice White Long Grain Parboiled Dry, Salt Kosher, Spice Pepper Black Ground Fine, Tomatoes Diced in Juice No Added Salt Ang Mia Canned, Water "
Lunch,Roasted Peppers w/ Garlic and Herbs,160,1,7,14," Basil Fresh Chopped, Garlic Cloves Peeled Fresh Minced, Oil Olive Extra Virgin, Peppers Bell Green Large Fresh, Peppers Bell Red Fresh, Peppers Bell Yellow Fresh, Salt Kosher "
Lunch,Roasted Corn,110,3,20,3," Cilantro Fresh Chopped, Corn Whole Kernel Frozen, Garlic Cloves Peeled Fresh Minced, Oil Canola, Onions Green Scallion Each Fresh Sliced Thin, Onions Red Fresh Diced, Peppers Bell Red Fresh Diced, Salt Kosher, Spice Cumin Ground, Spice Pepper Black Ground Coarse "
Lunch,Mexican Lasagna,210,9,28,8," Beans Refried Vegetarian Canned, Cheese Pepper Jack Loaf Shredded, Cilantro Fresh Chopped, Oil Canola, Onions Yellow Fresh Diced, Peppers Chili Green Diced Canned Drained, Salt Kosher, Sauce Enchilada Red Canned, Tortilla Corn White 6"" "
Lunch,Tex Mex Turkey Enchiladas,260,24,14,13," Cheese Monterey Jack and Cheddar Pre-Shredded, Oil Canola, Olives Black Pitted Sliced Drained, Onions Yellow Fresh Chopped Fine, Sauce Enchilada Red Canned, Tortilla Corn Yellow 6"", Turkey Breast Skin On Petite Antibiotic Free RTC "
Lunch,Iced Brownies,30,0,5,15," Icing Chocolate Fudge RTU, Mix Brownie Fudge, Water "
Lunch,Rice Krispie Treat,180,2,35,5," Butter Salted, Cereal Rice Krispies Bulk, Flavoring Extract Vanilla Imitation, Marshmallows Miniature "
Lunch,Thai Basil Tofu,150,9,12,8," Basil Thai Fresh, Cornstarch, Oil Canola, Onions Yellow Fresh Sliced 1/8"", Peppers Bell Green Fresh Battonet-Cut, Peppers Bell Red Fresh Battonet-Cut, Salt Kosher, Sauce Chili Sweet Thai, Sauce Soy Bulk, Tofu Extra Firm Including Liquids, Water "
Lunch,Garlic Rice,270,5,54,35," Garlic Cloves Peeled Fresh Minced, Oil Canola, Rice White Long Grain Parboiled Dry, Salt Kosher, Water Cold "
Lunch,Stir Fry Bok Choy,80,2,6,6," Cabbage Bok Choy Fresh Bias Cut, Garlic Cloves Peeled Fresh Minced, Oil Canola, Oil Sesame, Sauce Soy Less Sodium Gluten Free Lee Kum Kee Bulk, Spice Ginger Ground "
Lunch,Regular Vegan Tofu Carrot Cupcakes					,320,6,53,10," Baking Powder, Baking Soda, Carrots Fresh Grated, Flavoring Extract Vanilla Imitation, Flour All Purpose, Icing Vanilla Buttercreme RTU, Juice Orange 100%, Oil Canola, Raisins, Salt Bulk, Spice Cinnamon Ground, Sugar Brown Light, Tofu Extra Firm Including Liquids "
Lunch,Thai Style Vegetable Salad,130,4,19,6," Beans Green Snapped Fresh, Cabbage  Chinese (Napa) Fresh Shredded, Cabbage Green Fresh Shredded, Cabbage Red Pre-Shredded Fresh, Carrots Pre-Shredded Fresh, Cucumbers Fresh Peeled Seeded Diced, Juice Lime Fresh Pressed, Juice Pineapple 100% Canned, Oil Olive Extra Virgin, Oil Sesame, Onions Red Fresh Sliced 1/8"" Each Slice, Orange Peel Fresh Grated Fine, Peppers Bell Red Fresh Julienne Sliced, Sauce Soy Less Sodium Gluten Free Lee Kum Kee Bulk, Seasoning Chinese Five Spice, Sugar Granulated, Vinegar Rice Seasoned "
Lunch,Tomato Cucumber Salad,15,1,4,0," Cucumbers Fresh Peeled Sliced 1/4"", Onions Yellow Fresh Minced, Peppers Bell Green Fresh Diced Medium 1/2"", Salad Dressing Italian Fat Free Kraft Bulk, Tomatoes Fresh Diced "
Lunch,Mixed Greens Spring Mix,5,1,1,0, Lettuce Salad Mix Spring (Mesclun) 
Lunch,Romaine Lettuce,15,1,3,0," Lettuce Romaine Fresh Chopped 1"" "
Lunch,Cherry Tomatoes,5,0,1,0, Tomatoes Cherry Fresh 
Lunch,Sliced Cucumber,0,0,0,0," Cucumbers Fresh Peeled Sliced 1/4"" "
Lunch,Shredded Carrots,10,0,3,0, Carrots Fresh Shredded 
Lunch,Low Sodium Garbanzo Beans,50,3,8,1, Beans Garbanzo Low Sodium Canned Drained 
Lunch,Sliced Red Onion,10,0,3,0, Onions Red Fresh Slivered Thin 
Lunch,2% Greek Plain Yogurt,90,11,5,25, Yogurt Plain Greek 2% Fage Bulk 
Lunch,Low Fat Vanilla Yogurt,100,6,16,15, Yogurt Vanilla Low Fat Parfait 64 oz Pouch 
Lunch,Low Fat Strawberry Yogurt,110,5,21,15, Yogurt Strawberry Low Fat Bulk 
Lunch,Plain Bagel,290,8,63,1, Bagel Plain LaMarca 4 oz Fresh 
Lunch,Udi's Plain Bagel,290,7,43,9, Bagel Plain Gluten Free Udi's 3.5 oz Frozen 
Lunch,"Cream Cheese, 1 oz",100,2,2,10,MILK. 
Lunch,Oats 'n Honey Granola,20,0,3,5, Cereal Granola Oats 'n Honey Nature Valley Bulk 
Lunch,"Jelly, Mixed Fruit, .5 oz",40,0,10,0,None.  Manufacturer will not claim GF. 
Lunch,Cubed Honeydew,20,0,5,0, Honeydew Melon Fresh 
Lunch,Cubed Pineapple,40,0,11,0, Pineapple Fresh Cubed 
Lunch,Cubed Cantaloupe,20,0,5,0, Cantaloupe Medium Fresh Cubed 
Lunch,Sunflower Spread,35,1,1,3, Spread Sunflower SunButter 
Lunch,Black Bean and Corn Salad,100,5,18,2," Beans Black Turtle Low Sodium Canned Drained Rinsed, Cilantro Fresh Chopped, Corn Whole Kernel Frozen, Garlic Cloves Peeled Fresh Minced, Juice Lime Fresh Pressed, Oil Olive Extra Virgin, Onions Red Fresh Chopped Fine, Peppers Chili Jalapeno Fresh Minced, Spice Cumin Ground "
Lunch,Cubed Watermelon,10,0,2,0, Watermelon Fresh 
Lunch,Green Beans,60,2,9,3," Beans Green Snapped Fresh, Oil Olive, Salt Kosher, Spice Pepper Black Ground Fresh "
Lunch,Plantain Tostones,100,1,19,3," Plantain Green Fresh, Salt Kosher, Spice Cumin Ground, Spice Pepper Black Ground, Water Tap "
Lunch,Arroz con Pollo,190,16,14,7," Base Chicken Liquid Concentrate Knorr, Chicken Thigh Boneless Skinless, Cilantro Fresh Chopped, Garlic Cloves Peeled Fresh Chopped, Oil Canola, Olives Green Stuffed Sliced, Onions Yellow Fresh Diced Medium 1/2"", Peppers Bell Red Fresh Diced Medium 1/2"", Rice White Long Grain Parboiled Dry, Salt Kosher, Spice Cumin Ground, Spice Paprika Ground, Spice Pepper Black Ground Coarse, Spice Pepper Red Chili Crushed Flakes, Tomatoes Diced in Juice No Added Salt Ang Mia Canned, Water Boiling "
Lunch,Southwest Chicken Wrap,950,66,64,50," Avocado Fresh Cubed, Cheese Cheddar Mild Pre-Shredded Feathered, Cheese Mozzarella Part Skim Pre-Shredded Feathered, Chicken Breast Boneless Skinless NAE Random Raw, Lettuce Iceberg Fresh Pre-Shredded 1/8"", Lettuce Leaf Individual Leaf Fresh, Oil Canola, Sauce Salsa Picante Mild, Spice Cumin Ground, Spice Paprika Ground, Tomatoes Fresh Each Slice, Tortilla Wrap Flour 12"" Ole Mexican "
Lunch,Turkey Bacon Cheddar Sandwich ,460,26,41,21," Bacon Sliced Raw 18/22 Frozen, Bread Sourdough Loaf Sliced 1.52 oz Burry, Cheese Cheddar Mild Loaf Sliced .5 oz, Garlic Cloves Peeled Fresh, Juice Lemon Fresh Pressed, Lettuce Leaf Individual Leaf Fresh, Mayonnaise Regular Kraft, Oil Canola, Rosemary Fresh Chopped, Salt Kosher, Tomatoes Fresh Each Slice, Turkey Breast Deli Smoked "
Lunch,"Hummus, Spinach, Feta & Tomato",270,10,33,12," Flatbread Thin 12""x12"" Frozen, Tomatoes Fresh, Hummus Traditional Grecian Delight Frozen, Cheese Feta, Spinach Baby Fresh "
Lunch,Hamburger ,450,30,39,18," Beef Patty 20% Fat Raw 4 oz Frozen, Bun Hamburger White 2.75 oz "
Lunch,Turkey Burger on Bun,300,24,26,10," Bun Hamburger Wheat 4"", Turkey Burger Savory 4 oz Raw "
Lunch,Grilled Vegetables,25,2,5,0," Asparagus Fresh, Mushrooms Portobello Fresh, Oil Canola, Peppers Bell Red Fresh, Salt Kosher, Spice Pepper Black Ground, Squash Yellow Fresh Bias Cut Halved 1/2"", Squash Zucchini Fresh Bias Cut Halved 1/2"" "
Lunch,Potato Wedges,190,2,18,13, Potatoes French Fries Wedges Seasoned 8 cut Frozen 
Lunch,Banana,110,1,27,0, Banana Medium 100-120 Ct Fresh 
Lunch,Orange,60,1,14,0, Orange 113 Count  Fresh 
Lunch,Apple,70,0,18,0, Apples Red Delicious 125 Count Fresh 
Lunch,Iced Brownies,30,0,5,15," Icing Chocolate Fudge RTU, Mix Brownie Fudge, Water "
Lunch,Rice Krispie Treat,180,2,35,5," Butter Salted, Cereal Rice Krispies Bulk, Flavoring Extract Vanilla Imitation, Marshmallows Miniature "
Lunch,Cheese Pizza,180,8,23,6," Basil Fresh, Cheese Mozzarella Whole Milk Pre-Shredded, Cheese Parmesan Grated, Flour High Gluten Bakers, Oil Canola, Salt Bulk, Salt Kosher, Spice Garlic Powder, Spice Pepper Black Ground, Sugar Granulated, Tomatoes Crushed Canned Including Liquids, Tomatoes Whole Peeled Canned Drained Chopped, Water, Yeast Bakers Active Dry "
Lunch,Bacon Pizza,310,15,33,12," Bacon Bits Real FC 3/8"", Cheese Cheddar Mild Pre-Shredded Feathered, Cheese Mozzarella Whole Milk Pre-Shredded, Cheese Parmesan Grated, Cheese Parmesan Pre-Shredded Fancy, Cheese Provolone Loaf Shredded, Dough Pizza 16"" Pre-sheeted Rolled Edge 26 oz Frozen, Oil Canola, Spice Garlic Powder, Spice Oregano Dried Crumbled, Spice Pepper Red Chili Crushed Flakes, Tomatoes Crushed Canned Including Liquids "
Lunch,Sun-Dried Tomato Mozzarella Flatbread,180,14,24,6," Basil Fresh Chiffonade Cut, Basil Fresh Chopped, Cheese Mozzarella Part Skim Pre-Shredded Feathered, Cheese Parmesan Grated, Flatbread Flatout Multi Grain, Garlic Chopped in Water, Oil Canola, Spice Pepper Black Ground, Tomato Puree Canned, Tomatoes Diced in Juice No Added Salt Ang Mia Canned, Tomatoes Sun-Dried Chopped Fine "
Lunch,Crushed Red Pepper,5,0,1,0, Spice Pepper Red Chili Crushed Flakes 
Lunch,Dried Oregano,0,0,0,0, Spice Oregano Dried Crumbled 
Lunch,Grated Parmesan Cheese,10,1,0,5, Cheese Parmesan Grated 
Lunch,Iced Brownies,30,0,5,15," Icing Chocolate Fudge RTU, Mix Brownie Fudge, Water "
Lunch,Rice Krispie Treat,180,2,35,5," Butter Salted, Cereal Rice Krispies Bulk, Flavoring Extract Vanilla Imitation, Marshmallows Miniature "
